dataset, metric, num_queries, tree_depth, build_time (s), time_per_query (s), queries_per_second (1/s), mean_output_size
deep-image, cosine, 10000, 64, 7.24e1, 1.33e-2, 7.49e1, 143.00000
fashion-mnist, euclidean, 10000, 37, 1.44e0, 3.24e-3, 3.09e2, 20.00000
gist, euclidean, 1000, 61, 3.54e1, 7.34e-2, 1.36e1, 2.00000
glove-25, cosine, 10000, 50, 3.08e0, 1.34e-3, 7.47e2, 139.00000
glove-50, cosine, 10000, 50, 4.61e0, 7.64e-3, 1.31e2, 32.00000
glove-100, cosine, 10000, 51, 7.98e0, 2.40e-2, 4.17e1, 10.00000
glove-200, cosine, 10000, 52, 1.53e1, 5.55e-2, 1.80e1, 1.00000
mnist, euclidean, 10000, 38, 1.34e0, 5.96e-3, 1.68e2, 54.00000
nytimes, cosine, 10000, 253, 4.22e0, 1.68e-2, 5.96e1, 95.00000
sift, euclidean, 10000, 54, 4.76e0, 1.04e-2, 9.62e1, 223.00000
lastfm, cosine, 50000, 260, 4.12e0, 1.72e-7, 5.82e6, 118.00000